course_no,course_name,dept_code,dept_name,completion_type_code,completion_type,first_year,first_term,latest_year,latest_term,section_count
ARE1057,스마트건축의이해,H0002521,건축공학부,722,전공심화,2024,2,2026,2,3
ARE1058,건축의이해,H0002886,건축학부,727,전공기초(필수),2024,1,2026,1,3
ARE2007,건축설비개론,H0002521,건축공학부,722,전공심화,2024,2,2026,2,3
ARE2007,건축설비개론,H0002886,건축학부,721,전공핵심,2024,1,2026,1,3
ARE2021,공학역학,H0002521,건축공학부,721,전공핵심,2024,1,2026,1,3
ARE2022,건물유체및열역학,H0002521,건축공학부,721,전공핵심,2024,2,2026,2,3
ARE2070,컴퓨터활용디자인기본,H0002886,건축학부,727,전공기초(필수),2024,2,2026,2,12
ARE2078,건축과컴퓨터,H0002886,건축학부,727,전공기초(필수),2024,2,2026,2,5
ARE3005,건축재료,H0002521,건축공학부,722,전공심화,2024,1,2026,1,3
ARE3008,건축구조역학1,H0002521,건축공학부,721,전공핵심,2024,1,2026,1,3
ARE3009,건축구조역학2,H0002521,건축공학부,722,전공심화,2024,2,2026,2,3
ARE3069,글로벌건설경영,H0002521,건축공학부,722,전공심화,2024,2,2026,2,3
ARE3080,건축융합설계1,H0002521,건축공학부,721,전공핵심,2024,1,2025,1,8
ARE3081,건축융합설계2,H0002521,건축공학부,721,전공핵심,2024,2,2025,2,8
ARE3082,컴퓨터활용건축설계특론,H0002886,건축학부,727,전공기초(필수),2024,1,2026,1,6
ARE3083,건축구조역학,H0002886,건축학부,721,전공핵심,2024,2,2026,2,3
ARE3084,근대건축의역사와이론,H0002886,건축학부,721,전공핵심,2024,2,2026,2,3
ARE3085,건축재료및활용,H0002886,건축학부,721,전공핵심,2024,1,2026,1,3
ARE3086,스마트건축생산,H0002521,건축공학부,722,전공심화,2024,2,2026,2,3
ARE3087,건축과도시설계,H0002886,건축학부,721,전공핵심,2024,2,2026,2,3
ARE3088,건축융합설계,H0002521,건축공학부,721,전공핵심,2026,2,2026,2,4
ARE3096,건축통합시스템,H0002886,건축학부,721,전공핵심,2025,2,2026,2,2
ARE3097,건축법과실무,H0002886,건축학부,721,전공핵심,2025,2,2026,2,2
ARE4002,구조해석,H0002517,건설환경공학과,722,전공심화,2024,1,2026,1,3
ARE4014,건축구조계획,H0002521,건축공학부,722,전공심화,2024,2,2026,2,3
ARE4014,건축구조계획,H0002886,건축학부,721,전공핵심,2024,2,2024,2,1
ARE4022,건축음향,H0002521,건축공학부,722,전공심화,2024,2,2026,2,3
ARE4026,환경과생태건축,H0002521,건축공학부,722,전공심화,2025,2,2026,2,2
ARE4026,환경과생태건축,H0002886,건축학부,721,전공핵심,2024,1,2026,1,3
ARE4027,건축상세미학,H0002886,건축학부,722,전공심화,2024,2,2026,2,3
ARE4030,전기회로및조명시스템,H0002521,건축공학부,722,전공심화,2024,2,2026,2,3
ARE4031,건물에너지,H0002521,건축공학부,722,전공심화,2024,1,2026,1,3
ARE4078,건축실무,H0002886,건축학부,721,전공핵심,2024,2,2024,2,1
ARE4086,기본설계1,H0002521,건축공학부,727,전공기초(필수),2024,1,2026,1,12
ARE4086,기본설계1,H0002886,건축학부,727,전공기초(필수),2024,1,2026,1,15
ARE4087,기본설계2,H0002521,건축공학부,727,전공기초(필수),2024,2,2026,2,12
ARE4087,기본설계2,H0002886,건축학부,727,전공기초(필수),2024,2,2026,2,15
ARE4088,건축설계스튜디오1,H0002886,건축학부,721,전공핵심,2024,1,2026,1,15
ARE4089,건축설계스튜디오2,H0002886,건축학부,721,전공핵심,2024,2,2026,2,15
ARE4092,건축설계스튜디오3,H0002886,건축학부,721,전공핵심,2024,1,2026,1,15
ARE4093,건축설계스튜디오4,H0002886,건축학부,721,전공핵심,2024,2,2026,2,15
ARE4095,건축설계스튜디오5,H0002886,건축학부,721,전공핵심,2024,1,2026,1,15
ARE4096,건축설계스튜디오6,H0002886,건축학부,721,전공핵심,2024,2,2026,2,15
ARE4097,건축설계스튜디오7,H0002886,건축학부,722,전공심화,2024,1,2026,1,13
ARE4098,건축설계스튜디오8,H0002886,건축학부,722,전공심화,2024,2,2026,2,12
ARE4101,예술과기술,H0002886,건축학부,722,전공심화,2024,1,2026,1,3
ARE4106,현대건축의역사와이론,H0002886,건축학부,721,전공핵심,2024,1,2026,1,3
ARE4109,건축과인터랙션,H0002886,건축학부,722,전공심화,2024,2,2026,2,3
ARE4110,동아시아건축과문화,H0002886,건축학부,722,전공심화,2024,2,2025,2,2
ARE5000,건축공간행태론,H0002886,건축학부,722,전공심화,2024,1,2026,1,3
ARE5001,디지털디자인스튜디오,H0002886,건축학부,722,전공심화,2025,1,2026,1,2
ARE5003,건축연구,H0002886,건축학부,722,전공심화,2024,1,2026,1,3
ARE5005,글로벌프로젝트기획및개발,H0002521,건축공학부,722,전공심화,2024,2,2026,2,3
ARE5008,Adventure_Design(건축융합1),H0002521,건축공학부,722,전공심화,2024,1,2026,1,12
ARE5009,Adventure_Design(건축융합2),H0002521,건축공학부,722,전공심화,2024,2,2026,2,12
ARE5011,건축시공계획,H0002521,건축공학부,721,전공핵심,2024,1,2026,1,3
ARE5011,건축시공계획,H0002886,건축학부,721,전공핵심,2024,2,2026,2,3
ARE5016,건설경영,H0002886,건축학부,721,전공핵심,2024,1,2026,1,3
ARE5027,HVAC 시스템디자인,H0002521,건축공학부,721,전공핵심,2024,1,2026,1,3
ARE5028,건축구조시스템,H0002521,건축공학부,722,전공심화,2024,1,2026,1,3
ARE5028,건축구조시스템,H0002886,건축학부,721,전공핵심,2024,1,2026,1,3
ARE5029,한국근현대건축의이해,H0002886,건축학부,722,전공심화,2024,2,2026,2,2
ARE5041,보존과활용,H0002886,건축학부,722,전공심화,2024,1,2026,1,2
ARE5043,건축형태이론,H0002886,건축학부,722,전공심화,2025,2,2026,2,2
ARE5045,UX기반공간연구,H0002886,건축학부,722,전공심화,2024,2,2026,2,3
ARE6041,강구조,H0002521,건축공학부,722,전공심화,2024,1,2026,1,3
AUE1002,미래자동차공학개론,H0002541,미래자동차공학과,722,전공심화,2025,2,2026,2,2
AUE3028,CAE,H0002541,미래자동차공학과,722,전공심화,2024,2,2026,2,3
AUE3030,자동차공학실험,H0002541,미래자동차공학과,722,전공심화,2024,2,2026,2,9
AUE3031,설계공학,H0002541,미래자동차공학과,722,전공심화,2024,2,2026,2,3
AUE3032,미래자동차공학연구실현장실습1,H0002541,미래자동차공학과,722,전공심화,2024,1,2025,1,7
AUE3033,미래자동차공학연구실현장실습2,H0002541,미래자동차공학과,722,전공심화,2024,2,2025,2,6
AUE3034,마이크로프로세서응용시스템,H0002541,미래자동차공학과,721,전공핵심,2024,1,2026,1,5
AUE3035,자동차커넥티비티,H0002541,미래자동차공학과,721,전공핵심,2025,2,2026,2,3
AUE4021,NVH,H0002541,미래자동차공학과,722,전공심화,2024,2,2024,2,1
AUE4023,차량센서,H0002541,미래자동차공학과,722,전공심화,2024,1,2026,1,6
AUE4024,미래자동차공학종합설계1,H0002541,미래자동차공학과,722,전공심화,2024,1,2026,1,9
AUE4025,미래자동차공학종합설계2,H0002541,미래자동차공학과,722,전공심화,2024,2,2026,2,9
AUE4029,미래자동차공학연구실현장실습3,H0002541,미래자동차공학과,722,전공심화,2024,1,2026,1,20
AUE4030,미래자동차공학연구실현장실습4,H0002541,미래자동차공학과,722,전공심화,2024,2,2026,2,17
AUE4031,e-파워트레인,H0002541,미래자동차공학과,722,전공심화,2024,1,2026,1,3
AUE4032,AI로봇공학,H0002541,미래자동차공학과,722,전공심화,2024,1,2024,1,1
AUE4033,차량최적설계,H0002541,미래자동차공학과,722,전공심화,2024,2,2025,2,2
AUE4035,AI차량융합기술,H0002541,미래자동차공학과,722,전공심화,2024,2,2024,2,1
AUE4036,xEV에너지시스템,H0002541,미래자동차공학과,722,전공심화,2025,2,2025,2,1
AUE4038,xEV모터구동시스템,H0002541,미래자동차공학과,722,전공심화,2024,1,2026,1,3
AUE4039,자동차소프트웨어,H0002541,미래자동차공학과,721,전공핵심,2024,2,2026,2,6
AUE4040,자동차임베디드AI,H0002541,미래자동차공학과,722,전공심화,2026,1,2026,1,1
AUE4041,xEV전력변환,H0002541,미래자동차공학과,722,전공심화,2026,2,2026,2,1
BIG2001,기초미적분학,H0004322,빅데이터융합전공,721,전공핵심,2024,1,2026,1,3
BIG2002,기초확률및통계,H0004322,빅데이터융합전공,721,전공핵심,2025,1,2026,1,2
BIG2003,자료구조와알고리즘,H0004322,빅데이터융합전공,721,전공핵심,2024,1,2026,1,3
BIG2004,자료분석방법론,H0004322,빅데이터융합전공,721,전공핵심,2024,2,2026,2,2
BIG2006,R과자료시각화,H0004322,빅데이터융합전공,721,전공핵심,2024,2,2026,2,3
BIG2007,사회데이터조사방법론,H0004322,빅데이터융합전공,721,전공핵심,2024,1,2026,1,3
BIG3001,통계적모델링,H0004322,빅데이터융합전공,721,전공핵심,2025,1,2026,1,2
BIG3002,빅데이터마이닝,H0004322,빅데이터융합전공,721,전공핵심,2024,1,2026,1,3
BIG3003,인공지능과머신러닝,H0004322,빅데이터융합전공,722,전공심화,2024,1,2025,1,2
BIG3005,사회연결망분석과텍스트마이닝,H0004322,빅데이터융합전공,722,전공심화,2024,2,2025,2,2
BIG3006,바이오데이터분석,H0004322,빅데이터융합전공,722,전공심화,2024,2,2026,2,2
BIG4001,응용회귀분석,H0004322,빅데이터융합전공,722,전공심화,2024,2,2026,2,3
BIG4002,사회연결망분석방법론,H0004322,빅데이터융합전공,722,전공심화,2026,2,2026,2,1
BIO1001,일반화학기초,H0003563,생명과학과,727,전공기초(필수),2024,1,2025,1,2
BIO2016,세포생물학1,H0003563,생명과학과,727,전공기초(필수),2024,1,2026,1,3
BIO2017,세포생물학2,H0003563,생명과학과,721,전공핵심,2024,2,2026,2,3
BIO2022,세포생물학,H0002599,의예과,721,전공핵심,2024,2,2026,2,3
BIO2022,세포생물학,H0003831,생명공학과,722,전공심화,2024,2,2026,2,3
BIO2030,미생물학1,H0003563,생명과학과,721,전공핵심,2024,1,2026,1,3
BIO2031,미생물학2,H0003563,생명과학과,721,전공핵심,2024,2,2026,2,3
BIO2040,동물의다양성,H0003563,생명과학과,721,전공핵심,2026,1,2026,1,1
BIO2043,신경생물학,H0003563,생명과학과,721,전공핵심,2024,2,2025,2,2
BIO2062,생태학1,H0003563,생명과학과,727,전공기초(필수),2024,2,2026,2,6
BIO2068,생물유기화학,H0003563,생명과학과,721,전공핵심,2024,1,2026,1,2
BIO2079,바이오분자공학,H0004701,바이오메디컬공학전공,721,전공핵심,2024,1,2026,1,3
BIO3022,유전학1,H0003563,생명과학과,727,전공기초(필수),2024,2,2026,1,4
BIO3023,유전학2,H0003563,생명과학과,721,전공핵심,2025,2,2026,2,2
BIO3023,유전학2,H0003563,생명과학과,722,전공심화,2024,1,2024,1,1
BIO3039,분자생물학1,H0003563,생명과학과,727,전공기초(필수),2024,1,2026,1,4
BIO3040,분자생물학2,H0003563,생명과학과,721,전공핵심,2024,2,2026,2,4
BIO3042,동물생리학1,H0003563,생명과학과,721,전공핵심,2024,2,2026,2,3
BIO3044,동물생리학2,H0003563,생명과학과,721,전공핵심,2026,1,2026,1,1
BIO3044,동물생리학2,H0003563,생명과학과,722,전공심화,2024,1,2025,1,2
BIO3074,발생학1,H0003563,생명과학과,721,전공핵심,2024,1,2026,1,3
BIO3077,생태학2,H0003563,생명과학과,721,전공핵심,2026,1,2026,1,1
BIO3077,생태학2,H0003563,생명과학과,722,전공심화,2024,1,2025,1,2
BIO3081,생체소재공학,H0004701,바이오메디컬공학전공,721,전공핵심,2024,2,2026,2,3
BIO3084,생체모방공학,H0004701,바이오메디컬공학전공,722,전공심화,2024,1,2026,1,4
BIO3093,발생학2,H0003563,생명과학과,722,전공심화,2024,2,2026,2,3
BIO4001,분자생물학,H0003831,생명공학과,721,전공핵심,2024,1,2026,1,6
BIO4004,진화생물학,H0003563,생명과학과,722,전공심화,2024,2,2026,2,3
BIO4005,해양생물학,H0003563,생명과학과,722,전공심화,2024,2,2026,2,3
BIO4009,식물생리학,H0003563,생명과학과,721,전공핵심,2024,2,2026,2,3
BIO4021,발생유전학,H0003563,생명과학과,722,전공심화,2024,1,2026,1,3
BIO4034,신경생물학1,H0003563,생명과학과,722,전공심화,2026,2,2026,2,1
BIO4063,바이오센서,H0004701,바이오메디컬공학전공,722,전공심화,2025,1,2025,1,2
BIO4065,생체공학특강1,H0002567,생체공학전공,722,전공심화,2024,1,2024,1,1
BIO4065,바이오메디컬공학특강1,H0004701,바이오메디컬공학전공,722,전공심화,2025,1,2026,1,3
BIO4066,나노바이오공학,H0002567,생체공학전공,722,전공심화,2024,1,2024,1,1
BIO4066,나노바이오공학,H0004701,바이오메디컬공학전공,722,전공심화,2025,1,2026,1,3
BIO4067,생체공학특강2,H0002567,생체공학전공,722,전공심화,2024,2,2024,2,1
BIO4067,바이오메디컬공학특강2,H0004701,바이오메디컬공학전공,722,전공심화,2025,2,2026,2,2
BIO4102,후성유전학,H0003563,생명과학과,722,전공심화,2024,2,2026,2,2
BIO4113,분자생화학PBL,H0003563,생명과학과,722,전공심화,2024,1,2026,1,3
BNG1001,바이오메디컬공학개론,H0004701,바이오메디컬공학전공,721,전공핵심,2024,1,2026,1,3
BNG2001,생체신호및시스템,H0004701,바이오메디컬공학전공,721,전공핵심,2024,1,2026,1,3
BNG2002,생체신호처리,H0004701,바이오메디컬공학전공,721,전공핵심,2024,2,2026,2,3
BNG2004,생체구조및기능1,H0004701,바이오메디컬공학전공,721,전공핵심,2024,2,2026,2,3
BNG2005,생체구조및기능2,H0004701,바이오메디컬공학전공,721,전공핵심,2024,1,2026,1,4
BNG2007,바이오메디컬프로그래밍,H0004701,바이오메디컬공학전공,721,전공핵심,2024,1,2026,1,4
BNG2008,바이오메디컬회로이론,H0004701,바이오메디컬공학전공,721,전공핵심,2024,1,2026,1,5
BNG2009,생체전자및실습,H0004701,바이오메디컬공학전공,721,전공핵심,2024,2,2026,2,5
BNG3001,생명공학실험1(URIP),H0003831,생명공학과,722,전공심화,2024,1,2026,1,3
BNG3002,기초면역학,H0003831,생명공학과,722,전공심화,2024,1,2026,1,3
BNG3002,기초면역학,H0005245,한양인터칼리지학부,721,전공핵심,2026,2,2026,2,1
BNG3003,세포및조직공학,H0003831,생명공학과,721,전공핵심,2024,2,2026,2,3
BNG3004,생명공학실험2(URIP),H0003831,생명공학과,722,전공심화,2024,2,2026,2,3
BNG3005,기초신경과학,H0002599,의예과,721,전공핵심,2024,2,2026,2,4
BNG3005,기초신경과학,H0004701,바이오메디컬공학전공,722,전공심화,2024,2,2026,2,3
BNG3009,생체영상처리,H0004701,바이오메디컬공학전공,722,전공심화,2024,2,2026,2,3
BNG3011,디지털헬스케어,H0002567,생체공학전공,722,전공심화,2024,2,2024,2,1
BNG3011,디지털헬스케어,H0004701,바이오메디컬공학전공,722,전공심화,2025,2,2026,2,2
BNG3013,생체시스템모델링,H0002567,생체공학전공,722,전공심화,2024,2,2024,2,1
BNG3014,생체신호계측및실습,H0004701,바이오메디컬공학전공,721,전공핵심,2024,1,2026,1,6
BNG3018,생체디지털공학,H0004701,바이오메디컬공학전공,721,전공핵심,2024,1,2026,1,5
BNG3020,생체공학연구실현장실습1,H0004701,바이오메디컬공학전공,722,전공심화,2024,1,2025,1,9
BNG3021,생체공학연구실현장실습2,H0004701,바이오메디컬공학전공,722,전공심화,2024,2,2025,2,5
BNG3022,생체공학연구실현장실습3,H0002567,생체공학전공,722,전공심화,2024,1,2024,1,8
BNG3022,생체공학연구실현장실습3,H0004701,바이오메디컬공학전공,722,전공심화,2025,1,2026,1,18
BNG3023,생체공학연구실현장실습4,H0002567,생체공학전공,722,전공심화,2024,2,2024,2,8
BNG3023,생체공학연구실현장실습4,H0004701,바이오메디컬공학전공,722,전공심화,2025,2,2026,2,18
