course_no,course_name,parse_status,grade_row_count,term_count,department_count,latest_year,latest_term,pdf_path,pdf_exists,issues
MME4061,탐사자료처리설계,ok,24,5,1,2017,2,outputs/pdfs_full/자원환경공학과__MME4061__탐사자료처리설계.pdf,yes,
MME4062,자원환경공학종합설계,ok,7,4,1,2025,2,outputs/pdfs_full/자원환경공학과__MME4062__자원환경공학종합설계.pdf,yes,
MME4064,나노재료와자원환경,not_found,0,0,1,,,outputs/pdfs_full/자원환경공학과__MME4064__나노재료와자원환경.pdf,yes,missing_grade_rows
MME4065,도시광산개발,ok,23,5,1,2018,1,outputs/pdfs_full/자원환경공학과__MME4065__도시광산개발.pdf,yes,
MME4066,자원물질전달학,ok,4,1,1,2016,1,outputs/pdfs_full/자원환경공학과__MME4066__자원물질전달학.pdf,yes,
MME4068,순환자원공학,ok,20,5,1,2026,1,outputs/pdfs_full/자원환경공학과__MME4068__순환자원공학.pdf,yes,
MME4069,물리검층의이해,ok,15,4,1,2024,1,outputs/pdfs_full/자원환경공학과__MME4069__물리검층의이해.pdf,yes,
MME4070,친환경에너지공학,ok,3,1,1,2019,1,outputs/pdfs_full/자원환경공학과__MME4070__친환경에너지공학.pdf,yes,
MME4071,스마트지하공간및자원개발,ok,11,4,1,2024,2,outputs/pdfs_full/자원환경공학과__MME4071__스마트지하공간및자원개발.pdf,yes,
MME4072,폐기물에너지전환공학,ok,14,4,1,2026,1,outputs/pdfs_full/자원환경공학과__MME4072__폐기물에너지전환공학.pdf,yes,
MME4073,폐기물처리,ok,11,3,1,2026,1,outputs/pdfs_full/자원환경공학과__MME4073__폐기물처리.pdf,yes,
MOT0001,예술공학의이해,not_found,0,0,2,,,outputs/pdfs_full/예술융합소프트웨어_융합전공__MOT0001__예술공학의이해.pdf,yes,missing_grade_rows
MOT0002,특허와지식재산경영,not_found,0,0,1,,,outputs/pdfs_seoul_university/서울_대학__MOT0002__특허와지식재산경영.pdf,yes,missing_grade_rows
MOT0003,과학기술정책개론,not_found,0,0,1,,,outputs/pdfs_seoul_university/서울_대학__MOT0003__과학기술정책개론.pdf,yes,missing_grade_rows
MOT0004,디자인과기술혁신,not_found,0,0,2,,,outputs/pdfs_full/사회혁신융합전공__MOT0004__디자인과기술혁신.pdf,yes,missing_grade_rows
MOT0005,기술경영공학의이해,not_found,0,0,1,,,outputs/pdfs_seoul_university/서울_대학__MOT0005__기술경영공학의이해.pdf,yes,missing_grade_rows
MOT0006,감성마케팅기술,ok,4,2,2,2018,2,outputs/pdfs_full/예술융합소프트웨어_융합전공__MOT0006__감성마케팅기술.pdf,yes,
MPE2001,지구환경공학개론,ok,18,4,1,2025,2,outputs/pdfs_full/자원환경공학과__MPE2001__지구환경공학개론.pdf,yes,
MPE2005,자원처리공학,ok,20,5,1,2026,1,outputs/pdfs_full/자원환경공학과__MPE2005__자원처리공학.pdf,yes,
MPE2007,자원경제및정책,ok,6,2,1,2015,1,outputs/pdfs_full/자원환경공학과__MPE2007__자원경제및정책.pdf,yes,
MPE2008,토양환경,ok,5,1,1,2025,1,outputs/pdfs_full/자원환경공학과__MPE2008__토양환경.pdf,yes,
MPE3003,저류층지구역학기초,ok,16,5,1,2026,1,outputs/pdfs_full/자원환경공학과__MPE3003__저류층지구역학기초.pdf,yes,
MPE4005,자원개발공학,ok,8,3,1,2014,2,outputs/pdfs_full/자원환경공학과__MPE4005__자원개발공학.pdf,yes,
NUE4030,플라즈마공학입문,ok,25,5,1,2024,1,outputs/pdfs_full/전기공학전공__NUE4030__플라즈마공학입문.pdf,yes,
NUR1002,간호학개론,ok,25,4,3,2025,2,outputs/pdfs_full/간호학과__NUR1002__간호학개론.pdf,yes,
NUR1006,간호와직업,not_found,0,0,3,,,outputs/pdfs_full/간호학과__NUR1006__간호와직업.pdf,yes,missing_grade_rows
NUR1007,간호고전,not_found,0,0,2,,,outputs/pdfs_full/간호학전공__NUR1007__간호고전.pdf,yes,missing_grade_rows
NUR1008,동양적건강과질병관,not_found,0,0,2,,,outputs/pdfs_full/간호학전공__NUR1008__동양적건강과질병관.pdf,yes,missing_grade_rows
NUR1009,간호해부학,ok,20,4,3,2026,1,outputs/pdfs_full/간호학과__NUR1009__간호해부학.pdf,yes,
NUR1010,건강의고전적이해,ok,18,4,5,2026,1,outputs/pdfs_full/간호학과__NUR1010__건강의고전적이해.pdf,yes,
NUR1011,인류학의이해,ok,6,1,6,2022,2,outputs/pdfs_full/간호학과__NUR1011__인류학의이해.pdf,yes,
NUR1012,간호공학입문,ok,23,4,2,2025,2,outputs/pdfs_full/간호학과__NUR1012__간호공학입문.pdf,yes,
NUR1013,건강인류학,ok,18,4,4,2026,1,outputs/pdfs_full/간호학과__NUR1013__건강인류학.pdf,yes,
NUR1014,돌봄의사회적가치,ok,4,2,1,2025,2,outputs/pdfs_full/간호학과__NUR1014__돌봄의사회적가치.pdf,yes,
NUR2001,간호윤리,not_found,0,0,2,,,outputs/pdfs_full/간호학전공__NUR2001__간호윤리.pdf,yes,missing_grade_rows
NUR2008,기본간호학및실습1,not_found,0,0,3,,,outputs/pdfs_full/간호학과__NUR2008__기본간호학및실습1.pdf,yes,missing_grade_rows
NUR2009,기본간호학및실습2,not_found,0,0,3,,,outputs/pdfs_full/간호학과__NUR2009__기본간호학및실습2.pdf,yes,missing_grade_rows
NUR2014,간호과정,ok,25,4,6,2026,1,outputs/pdfs_full/간호학과__NUR2014__간호과정.pdf,yes,
NUR2020,간호정보학,ok,22,4,6,2026,1,outputs/pdfs_full/간호학과__NUR2020__간호정보학.pdf,yes,
NUR2021,아동발달과건강,not_found,0,0,2,,,outputs/pdfs_full/간호학전공__NUR2021__아동발달과건강.pdf,yes,missing_grade_rows
NUR2022,출산기가족의간호,ok,16,4,3,2026,1,outputs/pdfs_full/간호학과__NUR2022__출산기가족의간호.pdf,yes,
NUR2023,성인간호개론,not_found,0,0,2,,,outputs/pdfs_full/간호학전공__NUR2023__성인간호개론.pdf,yes,missing_grade_rows
NUR2024,의사소통론,ok,26,4,3,2025,2,outputs/pdfs_full/간호학과__NUR2024__의사소통론.pdf,yes,
NUR2028,출산기건강장애와간호,not_found,0,0,3,,,outputs/pdfs_full/간호학과__NUR2028__출산기건강장애와간호.pdf,yes,missing_grade_rows
NUR2029,성인건강간호중재론1,not_found,0,0,2,,,outputs/pdfs_full/간호학전공__NUR2029__성인건강간호중재론1.pdf,yes,missing_grade_rows
NUR2031,지역중심간호과학1,not_found,0,0,3,,,outputs/pdfs_full/간호학과__NUR2031__지역중심간호과학1.pdf,yes,missing_grade_rows
NUR2033,성장과발달,not_found,0,0,3,,,outputs/pdfs_full/간호학과__NUR2033__성장과발달.pdf,yes,missing_grade_rows
NUR2034,논리와비평적사고,not_found,0,0,3,,,outputs/pdfs_full/간호학과__NUR2034__논리와비평적사고.pdf,yes,missing_grade_rows
NUR2035,간호약리학,ok,22,4,3,2026,1,outputs/pdfs_full/간호학과__NUR2035__간호약리학.pdf,yes,
NUR2036,기초간호과학4,not_found,0,0,3,,,outputs/pdfs_full/간호학과__NUR2036__기초간호과학4.pdf,yes,missing_grade_rows
NUR2037,인간발달과사회,ok,21,4,2,2026,1,outputs/pdfs_full/간호학과__NUR2037__인간발달과사회.pdf,yes,
NUR2038,디지털헬스디자인,ok,12,4,2,2025,2,outputs/pdfs_full/간호학과__NUR2038__디지털헬스디자인.pdf,yes,
NUR2039,기본간호학2,ok,26,4,2,2025,2,outputs/pdfs_full/간호학과__NUR2039__기본간호학2.pdf,yes,
NUR2040,기본간호학실습2,ok,14,4,2,2025,2,outputs/pdfs_full/간호학과__NUR2040__기본간호학실습2.pdf,yes,
NUR2041,기본간호학1,ok,28,4,2,2026,1,outputs/pdfs_full/간호학과__NUR2041__기본간호학1.pdf,yes,
NUR2042,기본간호학실습1,ok,17,4,2,2026,1,outputs/pdfs_full/간호학과__NUR2042__기본간호학실습1.pdf,yes,
NUR3007,지역사회간호학1,ok,21,4,2,2025,2,outputs/pdfs_full/간호학과__NUR3007__지역사회간호학1.pdf,yes,
NUR3008,지역사회간호학2,ok,12,4,2,2025,2,outputs/pdfs_full/간호학과__NUR3008__지역사회간호학2.pdf,yes,
NUR3009,임상실습1,not_found,0,0,3,,,outputs/pdfs_full/간호학과__NUR3009__임상실습1.pdf,yes,missing_grade_rows
NUR3010,임상실습2,not_found,0,0,3,,,outputs/pdfs_full/간호학과__NUR3010__임상실습2.pdf,yes,missing_grade_rows
NUR3015,보건교육,not_found,0,0,2,,,outputs/pdfs_full/간호학전공__NUR3015__보건교육.pdf,yes,missing_grade_rows
NUR3022,한방간호,not_found,0,0,2,,,outputs/pdfs_full/간호학전공(야)__NUR3022__한방간호.pdf,yes,missing_grade_rows
NUR3026,호스피스,ok,14,3,3,2025,2,outputs/pdfs_full/간호학과(야)__NUR3026__호스피스.pdf,yes,
NUR3029,건강사정,ok,23,4,3,2025,2,outputs/pdfs_full/간호학과__NUR3029__건강사정.pdf,yes,
NUR3031,간호병태생리학,ok,28,4,3,2025,2,outputs/pdfs_full/간호학과__NUR3031__간호병태생리학.pdf,yes,
NUR3032,간호이슈와비평적사고,ok,12,4,7,2026,1,outputs/pdfs_full/의학과__NUR3032__간호이슈와비평적사고.pdf,yes,
NUR3037,간호생리학,error|not_found,0,0,3,,,outputs/pdfs_full/간호학과(야)__NUR3037__간호생리학.pdf,yes,missing_grade_rows
NUR3038,간호병리학,ok,22,4,3,2025,2,outputs/pdfs_full/간호학과(야)__NUR3038__간호병리학.pdf,yes,
NUR3039,인간발달,not_found,0,0,3,,,outputs/pdfs_full/간호학과(야)__NUR3039__인간발달.pdf,yes,missing_grade_rows
NUR3040,호스피스간호,not_found,0,0,3,,,outputs/pdfs_full/간호학과__NUR3040__호스피스간호.pdf,yes,missing_grade_rows
NUR3041,성인건강간호중재론2,not_found,0,0,2,,,outputs/pdfs_full/간호학전공__NUR3041__성인건강간호중재론2.pdf,yes,missing_grade_rows
NUR3045,아동건강문제와가족간호1,ok,15,4,3,2026,1,outputs/pdfs_full/간호학과__NUR3045__아동건강문제와가족간호1.pdf,yes,
NUR3046,응급간호학,not_found,0,0,3,,,outputs/pdfs_full/간호학과__NUR3046__응급간호학.pdf,yes,missing_grade_rows
NUR3047,지역중심간호과학2,not_found,0,0,3,,,outputs/pdfs_full/간호학과__NUR3047__지역중심간호과학2.pdf,yes,missing_grade_rows
NUR3048,학교중심간호과학,not_found,0,0,3,,,outputs/pdfs_full/간호학과__NUR3048__학교중심간호과학.pdf,yes,missing_grade_rows
NUR3051,여성의부인과적장애와간호,ok,18,4,3,2025,2,outputs/pdfs_full/간호학과__NUR3051__여성의부인과적장애와간호.pdf,yes,
NUR3052,중환자간호,not_found,0,0,2,,,outputs/pdfs_full/간호학전공__NUR3052__중환자간호.pdf,yes,missing_grade_rows
NUR3053,정신건강간호중재,not_found,0,0,2,,,outputs/pdfs_full/간호학전공__NUR3053__정신건강간호중재.pdf,yes,missing_grade_rows
NUR3054,영유아기가족간호,ok,18,5,3,2026,1,outputs/pdfs_full/간호학과__NUR3054__영유아기가족간호.pdf,yes,
NUR3056,지역사회정신간호,ok,15,4,3,2026,1,outputs/pdfs_full/간호학과__NUR3056__지역사회정신간호.pdf,yes,
NUR3058,아동건강문제와가족간호2,ok,15,4,3,2025,2,outputs/pdfs_full/간호학과__NUR3058__아동건강문제와가족간호2.pdf,yes,
NUR3059,대체요법과간호,not_found,0,0,2,,,outputs/pdfs_full/간호학전공(야)__NUR3059__대체요법과간호.pdf,yes,missing_grade_rows
NUR3060,문화와전인간호,not_found,0,0,3,,,outputs/pdfs_full/간호학과(야)__NUR3060__문화와전인간호.pdf,yes,missing_grade_rows
NUR3062,심리사회간호,not_found,0,0,2,,,outputs/pdfs_full/간호학전공__NUR3062__심리사회간호.pdf,yes,missing_grade_rows
NUR3064,간호연구및통계,not_found,0,0,2,,,outputs/pdfs_full/간호학전공(야)__NUR3064__간호연구및통계.pdf,yes,missing_grade_rows
NUR3065,근거중심의간호실무,ok,14,4,3,2026,1,outputs/pdfs_full/간호학과(야)__NUR3065__근거중심의간호실무.pdf,yes,
