severity,issue_type,course_no,course_name,year,term,detail
warning,course_without_grade_data,HIC2008,반도체및재료과학입문,,,parse_status=not_found
warning,course_without_grade_data,HIC2010,반도체전자기학2,,,parse_status=not_found
warning,course_without_grade_data,HIC2011,법의기초적이해,,,parse_status=not_found
warning,course_without_grade_data,HIC2012,보건학의이해,,,parse_status=not_found
warning,course_without_grade_data,HIC2013,빅데이터분석의학통계,,,parse_status=not_found
warning,course_without_grade_data,HIC2014,생체신호센서,,,parse_status=not_found
warning,course_without_grade_data,HIC2016,융합약리학개론,,,parse_status=not_found
warning,course_without_grade_data,HIC2017,융합의과학개론,,,parse_status=not_found
warning,course_without_grade_data,HIC2018,의료데이타사이언스,,,parse_status=not_found
warning,course_without_grade_data,HIC2021,인지적왜곡과인지치료,,,parse_status=not_found
warning,course_without_grade_data,HIC2022,CrossDisciplinary Project,,,parse_status=not_found
warning,course_without_grade_data,HIC2024,지속가능경영과ESG,,,parse_status=not_found
warning,course_without_grade_data,HIC2025,혁신가와기업가정신,,,parse_status=not_found
warning,course_without_grade_data,HIC2027,휴먼컴퓨터인터페이스,,,parse_status=not_found
warning,course_without_grade_data,HIC2028,신경융합과학,,,parse_status=not_found
warning,course_without_grade_data,HIC2029,인공지능의활용,,,parse_status=not_found
warning,course_without_grade_data,HIC3001,4차산업혁명시대의노동과법,,,parse_status=not_found
warning,course_without_grade_data,HIC3002,감각증강과융합인지과학,,,parse_status=not_found
warning,course_without_grade_data,HIC3003,기반시설모니터링,,,parse_status=not_found
warning,course_without_grade_data,HIC3004,기후변화와클라이밋파이낸스,,,parse_status=not_found
warning,course_without_grade_data,HIC3005,뇌와감각인지의응용,,,parse_status=not_found
warning,course_without_grade_data,HIC3006,대전환의시대와변화의법,,,parse_status=not_found
warning,course_without_grade_data,HIC3007,딥러닝과인공지능활용,,,parse_status=not_found
warning,course_without_grade_data,HIC3008,메이크어드밴스드,,,parse_status=not_found
warning,course_without_grade_data,HIC3009,반도체고체물리학개론,,,parse_status=not_found
warning,course_without_grade_data,HIC3010,반도체를위한AI와머신러닝활용,,,parse_status=not_found
warning,course_without_grade_data,HIC3011,반도체소자공정,,,parse_status=not_found
warning,course_without_grade_data,HIC3012,반도체소자및분석,,,parse_status=not_found
warning,course_without_grade_data,HIC3013,반도체소재응용및특성분석,,,parse_status=not_found
warning,course_without_grade_data,HIC3014,반도체제조및공정제어,,,parse_status=not_found
warning,course_without_grade_data,HIC3015,"보건경제학과정책결정,의료미디어",,,parse_status=not_found
warning,course_without_grade_data,HIC3016,보건의료빅데이터연구,,,parse_status=not_found
warning,course_without_grade_data,HIC3017,브랜드전략과마케팅,,,parse_status=not_found
warning,course_without_grade_data,HIC3018,비즈니스데이터스토리텔링,,,parse_status=not_found
warning,course_without_grade_data,HIC3019,사회인프라경제성분석,,,parse_status=not_found
warning,course_without_grade_data,HIC3020,생체에너지소자,,,parse_status=not_found
warning,course_without_grade_data,HIC3021,생체영상공학,,,parse_status=not_found
warning,course_without_grade_data,HIC3022,스타트업런치패드,,,parse_status=not_found
warning,course_without_grade_data,HIC3023,신경과학과학습설계,,,parse_status=not_found
warning,course_without_grade_data,HIC3024,의학연구의설계와이해,,,parse_status=not_found
warning,course_without_grade_data,HIC3025,인지계산,,,parse_status=not_found
warning,course_without_grade_data,HIC3026,인지발달과신경과학,,,parse_status=not_found
warning,course_without_grade_data,HIC3027,InterDisciplinary Project,,,parse_status=not_found
warning,course_without_grade_data,HIC3028,임상신경과학,,,parse_status=not_found
warning,course_without_grade_data,HIC3029,임상질환학,,,parse_status=not_found
warning,course_without_grade_data,HIC3030,임팩트비즈니스와임팩트이코노미,,,parse_status=not_found
warning,course_without_grade_data,HIC3032,지식재산과사업화전략,,,parse_status=not_found
warning,course_without_grade_data,HIC3033,혁신애널리틱스,,,parse_status=not_found
warning,course_without_grade_data,HIC3034,의학종양학,,,parse_status=not_found
warning,course_without_grade_data,HIC3035,줄기세포학,,,parse_status=not_found
warning,course_without_grade_data,HIC4001,AI융합인지임상,,,parse_status=not_found
warning,course_without_grade_data,HIC4002,HCI인지융합설계,,,parse_status=not_found
warning,course_without_grade_data,HIC4003,계산인지와행동분석,,,parse_status=not_found
warning,course_without_grade_data,HIC4004,국가발전의원리,,,parse_status=not_found
warning,course_without_grade_data,HIC4005,뇌신경공학,,,parse_status=not_found
warning,course_without_grade_data,HIC4006,딥테크혁신경영,,,parse_status=not_found
warning,course_without_grade_data,HIC4007,로컬리즘과리빙랩,,,parse_status=not_found
warning,course_without_grade_data,HIC4008,리걸디자인,,,parse_status=not_found
warning,course_without_grade_data,HIC4009,마음과기계:AI기반인지시스템의미래,,,parse_status=not_found
warning,course_without_grade_data,HIC4010,바이오인공장기,,,parse_status=not_found
warning,course_without_grade_data,HIC4011,반도체결함제어및활용,,,parse_status=not_found
warning,course_without_grade_data,HIC4012,반도체의현재와미래,,,parse_status=not_found
