course_no,course_name,canonical_dept_code,canonical_dept_name,opening_dept,year_term_range,first_year,first_term,latest_year,latest_term,grade_row_count,term_count,department_count,pdf_path,parse_status
SYB1126,청소년문화,H0002256,서울 대학,대학(학부/서울),2015/1 ~ 2019/2,2015,1,2017,1,7,2,1,outputs/pdfs_seoul_university/서울_대학__SYB1126__청소년문화.pdf,ok
SYB1127,정보사회학입문,H0002256,서울 대학,대학(학부/서울),2015/2 ~ 2027/2,2024,2,2026,1,32,4,1,outputs/pdfs_seoul_university/서울_대학__SYB1127__정보사회학입문.pdf,ok
SYB1128,저작권과스마트폰의이해,H0002256,서울 대학,대학(학부/서울),2016/1 ~ 2027/2,2024,2,2026,1,18,4,1,outputs/pdfs_seoul_university/서울_대학__SYB1128__저작권과스마트폰의이해.pdf,ok
SYB1130,국제사회복지론,H0002256,서울 대학,대학(학부/서울),2016/1 ~ 2019/2,2016,1,2019,1,7,2,1,outputs/pdfs_seoul_university/서울_대학__SYB1130__국제사회복지론.pdf,ok
SYB1131,무역금융론,H0002256,서울 대학,대학(학부/서울),2016/1 ~ 2019/2,2016,1,2019,1,7,2,1,outputs/pdfs_seoul_university/서울_대학__SYB1131__무역금융론.pdf,ok
SYB1132,글로벌시대의금융,H0002256,서울 대학,대학(학부/서울),2016/1 ~ 2019/2,2016,1,2018,1,9,3,1,outputs/pdfs_seoul_university/서울_대학__SYB1132__글로벌시대의금융.pdf,ok
SYB1133,고령사회와실버세대의이해,H0002256,서울 대학,대학(학부/서울),2016/1 ~ 2019/2,2016,1,2016,1,5,1,1,outputs/pdfs_seoul_university/서울_대학__SYB1133__고령사회와실버세대의이해.pdf,ok
SYB1134,실버산업과기업공헌,H0002256,서울 대학,대학(학부/서울),2016/1 ~ 2019/2,2016,1,2016,1,4,1,1,outputs/pdfs_seoul_university/서울_대학__SYB1134__실버산업과기업공헌.pdf,ok
SYB1135,공간디자인과마케팅,H0002256,서울 대학,대학(학부/서울),2016/1 ~ 2019/2,2016,1,2016,1,4,1,1,outputs/pdfs_seoul_university/서울_대학__SYB1135__공간디자인과마케팅.pdf,ok
SYB1136,캐릭터디자인,H0002256,서울 대학,대학(학부/서울),2016/1 ~ 2019/2,2016,1,2017,1,8,2,1,outputs/pdfs_seoul_university/서울_대학__SYB1136__캐릭터디자인.pdf,ok
SYB1137,해킹대응실무,H0002256,서울 대학,대학(학부/서울),2017/2 ~ 2019/2,2017,2,2017,2,4,1,1,outputs/pdfs_seoul_university/서울_대학__SYB1137__해킹대응실무.pdf,ok
SYB1138,장애의이해,H0002256,서울 대학,대학(학부/서울),2016/2 ~ 2019/2,2016,2,2017,2,7,2,1,outputs/pdfs_seoul_university/서울_대학__SYB1138__장애의이해.pdf,ok
SYB1139,사회서비스론,H0002256,서울 대학,대학(학부/서울),2016/2 ~ 2019/2,2016,2,2018,2,11,3,1,outputs/pdfs_seoul_university/서울_대학__SYB1139__사회서비스론.pdf,ok
SYB1140,가족법,H0002256,서울 대학,대학(학부/서울),2016/2 ~ 2019/2,2016,2,2017,2,9,2,1,outputs/pdfs_seoul_university/서울_대학__SYB1140__가족법.pdf,ok
SYB1141,사업계획과창업실무,H0002256,서울 대학,대학(학부/서울),2016/2 ~ 2019/2,2017,2,2017,2,6,1,1,outputs/pdfs_seoul_university/서울_대학__SYB1141__사업계획과창업실무.pdf,ok
SYB1142,청소년미술치료,H0002256,서울 대학,대학(학부/서울),2017/2 ~ 2027/2,2017,2,2020,1,9,2,1,outputs/pdfs_seoul_university/서울_대학__SYB1142__청소년미술치료.pdf,ok
SYB1143,음악치료,H0002256,서울 대학,대학(학부/서울),2017/2 ~ 2019/2,2017,2,2017,2,4,1,1,outputs/pdfs_seoul_university/서울_대학__SYB1143__음악치료.pdf,ok
SYB1144,도시공간구조론,H0002256,서울 대학,대학(학부/서울),2017/2 ~ 2019/2,2017,2,2017,2,4,1,1,outputs/pdfs_seoul_university/서울_대학__SYB1144__도시공간구조론.pdf,ok
SYB1145,중급일본어청취,H0002256,서울 대학,대학(학부/서울),2017/2 ~ 2019/2,2017,2,2017,2,4,1,1,outputs/pdfs_seoul_university/서울_대학__SYB1145__중급일본어청취.pdf,ok
SYB1146,메뉴관리론,H0002256,서울 대학,대학(학부/서울),2017/2 ~ 2019/2,2017,2,2019,2,7,2,1,outputs/pdfs_seoul_university/서울_대학__SYB1146__메뉴관리론.pdf,ok
SYB1147,Introduction to Korean,H0002256,서울 대학,대학(학부/서울),2017/2 ~ 2027/2,2017,2,2018,2,2,2,1,outputs/pdfs_seoul_university/서울_대학__SYB1147__Introduction_to_Korean.pdf,ok
SYB1148,커피아카데미아,H0002256,서울 대학,대학(학부/서울),2018/1 ~ 2027/2,2023,2,2026,1,26,5,1,outputs/pdfs_seoul_university/서울_대학__SYB1148__커피아카데미아.pdf,ok
SYB1149,프레젠테이션기법,H0002256,서울 대학,대학(학부/서울),2018/1 ~ 2027/2,2023,2,2025,2,13,4,1,outputs/pdfs_seoul_university/서울_대학__SYB1149__프레젠테이션기법.pdf,ok
SYB1150,이상심리학,H0002256,서울 대학,대학(학부/서울),2018/1 ~ 2019/2,2018,1,2018,1,4,1,1,outputs/pdfs_seoul_university/서울_대학__SYB1150__이상심리학.pdf,ok
SYB1151,아동발달과병리,H0002256,서울 대학,대학(학부/서울),2018/1 ~ 2019/2,2018,1,2018,1,5,1,1,outputs/pdfs_seoul_university/서울_대학__SYB1151__아동발달과병리.pdf,ok
SYB1152,성인및노인미술치료,H0002256,서울 대학,대학(학부/서울),2018/1 ~ 2019/2,2018,1,2018,1,4,1,1,outputs/pdfs_seoul_university/서울_대학__SYB1152__성인및노인미술치료.pdf,ok
SYB1153,상담및심리치료,H0002256,서울 대학,대학(학부/서울),2018/1 ~ 2019/2,2018,1,2018,1,3,1,1,outputs/pdfs_seoul_university/서울_대학__SYB1153__상담및심리치료.pdf,ok
SYB1154,놀이지도,H0002256,서울 대학,대학(학부/서울),2018/1 ~ 2019/2,2018,1,2018,1,6,1,1,outputs/pdfs_seoul_university/서울_대학__SYB1154__놀이지도.pdf,ok
SYB1155,가족과문화,H0002256,서울 대학,대학(학부/서울),2018/1 ~ 2019/2,2018,1,2018,1,4,1,1,outputs/pdfs_seoul_university/서울_대학__SYB1155__가족과문화.pdf,ok
SYB1156,가족복지론,H0002256,서울 대학,대학(학부/서울),2018/1 ~ 2019/2,2018,1,2018,1,3,1,1,outputs/pdfs_seoul_university/서울_대학__SYB1156__가족복지론.pdf,ok
SYB1157,부동산투자론,H0002256,서울 대학,대학(학부/서울),2018/1 ~ 2019/2,2018,1,2018,1,3,1,1,outputs/pdfs_seoul_university/서울_대학__SYB1157__부동산투자론.pdf,ok
SYB1158,민법총칙,H0002256,서울 대학,대학(학부/서울),2018/1 ~ 2019/2,2018,1,2018,1,3,1,1,outputs/pdfs_seoul_university/서울_대학__SYB1158__민법총칙.pdf,ok
SYB1159,생애재무관리론,H0002256,서울 대학,대학(학부/서울),2018/2 ~ 2019/2,2018,2,2018,2,2,1,1,outputs/pdfs_seoul_university/서울_대학__SYB1159__생애재무관리론.pdf,ok
SYB1160,창의력향상과비즈니스,H0002256,서울 대학,대학(학부/서울),2018/2 ~ 2027/2,2018,2,2023,2,21,5,1,outputs/pdfs_seoul_university/서울_대학__SYB1160__창의력향상과비즈니스.pdf,ok
SYB1161,자바프로젝트,H0002256,서울 대학,대학(학부/서울),2018/2 ~ 2019/2,2018,2,2018,2,4,1,1,outputs/pdfs_seoul_university/서울_대학__SYB1161__자바프로젝트.pdf,ok
SYB1162,웹기술,H0002256,서울 대학,대학(학부/서울),2018/2 ~ 2019/2,2018,2,2018,2,4,1,1,outputs/pdfs_seoul_university/서울_대학__SYB1162__웹기술.pdf,ok
SYB1163,건축도시빅데이터,H0002256,서울 대학,대학(학부/서울),2018/2 ~ 2019/2,2018,2,2018,2,5,1,1,outputs/pdfs_seoul_university/서울_대학__SYB1163__건축도시빅데이터.pdf,ok
SYB1164,색채심리학,H0002256,서울 대학,대학(학부/서울),2018/2 ~ 2027/2,2018,2,2020,2,10,3,1,outputs/pdfs_seoul_university/서울_대학__SYB1164__색채심리학.pdf,ok
SYB1165,부동산공법,H0002256,서울 대학,대학(학부/서울),2018/2 ~ 2019/2,2018,2,2018,2,4,1,1,outputs/pdfs_seoul_university/서울_대학__SYB1165__부동산공법.pdf,ok
SYB1166,법정책론,H0002256,서울 대학,대학(학부/서울),2018/2 ~ 2027/2,2018,2,2021,2,9,3,1,outputs/pdfs_seoul_university/서울_대학__SYB1166__법정책론.pdf,ok
SYB1167,브랜드경영전략,H0002256,서울 대학,대학(학부/서울),2018/2 ~ 2019/2,2018,2,2018,2,2,1,1,outputs/pdfs_seoul_university/서울_대학__SYB1167__브랜드경영전략.pdf,ok
SYB1168,소셜미디어광고마케팅,H0002256,서울 대학,대학(학부/서울),2018/2 ~ 2019/2,2018,2,2018,2,2,1,1,outputs/pdfs_seoul_university/서울_대학__SYB1168__소셜미디어광고마케팅.pdf,ok
SYB1169,여행안내,H0002256,서울 대학,대학(학부/서울),2018/2 ~ 2019/2,2018,2,2018,2,3,1,1,outputs/pdfs_seoul_university/서울_대학__SYB1169__여행안내.pdf,ok
SYB1170,와인과소믈리에론,H0002256,서울 대학,대학(학부/서울),2018/2 ~ 2019/2,2018,2,2018,2,4,1,1,outputs/pdfs_seoul_university/서울_대학__SYB1170__와인과소믈리에론.pdf,ok
SYB1171,미술과정신병리,H0002256,서울 대학,대학(학부/서울),2019/1 ~ 2019/2,2019,1,2019,1,3,1,1,outputs/pdfs_seoul_university/서울_대학__SYB1171__미술과정신병리.pdf,ok
SYB1172,아동학개론,H0002256,서울 대학,대학(학부/서울),2019/1 ~ 2019/2,2019,1,2019,1,3,1,1,outputs/pdfs_seoul_university/서울_대학__SYB1172__아동학개론.pdf,ok
SYB1173,온라인마케팅,H0002256,서울 대학,대학(학부/서울),2019/1 ~ 2019/2,2019,1,2019,1,3,1,1,outputs/pdfs_seoul_university/서울_대학__SYB1173__온라인마케팅.pdf,ok
SYB1174,정서장애의이해와치료,H0002256,서울 대학,대학(학부/서울),2019/1 ~ 2019/2,2019,1,2019,1,4,1,1,outputs/pdfs_seoul_university/서울_대학__SYB1174__정서장애의이해와치료.pdf,ok
SYB1175,상담사례연구,H0002256,서울 대학,대학(학부/서울),2019/1 ~ 2019/2,2019,1,2019,1,5,1,1,outputs/pdfs_seoul_university/서울_대학__SYB1175__상담사례연구.pdf,ok
SYB1176,사회과학고전읽기,H0002256,서울 대학,대학(학부/서울),2019/2 ~ 2019/2,2019,2,2019,2,5,1,1,outputs/pdfs_seoul_university/서울_대학__SYB1176__사회과학고전읽기.pdf,ok
SYB1177,경영자료작성및활용,H0002256,서울 대학,대학(학부/서울),2019/2 ~ 2019/2,2019,2,2019,2,4,1,1,outputs/pdfs_seoul_university/서울_대학__SYB1177__경영자료작성및활용.pdf,ok
SYB1178,시사경제와금융지표,H0002256,서울 대학,대학(학부/서울),2019/2 ~ 2019/2,2019,2,2019,2,3,1,1,outputs/pdfs_seoul_university/서울_대학__SYB1178__시사경제와금융지표.pdf,ok
SYB1179,국제여행매너,H0002256,서울 대학,대학(학부/서울),2019/2 ~ 2019/2,2019,2,2019,2,4,1,1,outputs/pdfs_seoul_university/서울_대학__SYB1179__국제여행매너.pdf,ok
