campus_code,dept_code,dept_name,course_no,course_name,year,term,year_term_range,opening_dept,A+,A,B+,B,C+,C,D+,D,F,P,S,U,A+_count,A_count,B+_count,B_count,C+_count,C_count,D+_count,D_count,F_count,P_count,S_count,U_count,parse_status,pdf_path,error,total_count
H0002256,H0003561,물리학과,PHY4022,천체물리학,2025,2,2016/1 ~ 2030/2,물리학과,30,60,10,,,,,,,,,,3,6,1,,,,,,,,,,ok,outputs/pdfs_full/물리학과__PHY4022__천체물리학.pdf,,10
H0002256,H0003561,물리학과,PHY4023,반도체물리학,2025,2,2016/1 ~ 2029/2,물리학과,71.43,21.43,7.14,,,,,,,,,,10,3,1,,,,,,,,,,ok,outputs/pdfs_full/물리학과__PHY4023__반도체물리학.pdf,,14
H0002256,H0003561,물리학과,PHY4029,핵및입자물리학,2026,1,2016/1 ~ 2030/2,물리학과,38.89,50,5.56,5.56,,,,,,,,,7,9,1,1,,,,,,,,,ok,outputs/pdfs_full/물리학과__PHY4029__핵및입자물리학.pdf,,18
H0002256,H0003561,물리학과,PHY4060,양자광학,2026,1,2016/1 ~ 2030/2,물리학과,21.43,14.29,35.71,21.43,7.14,,,,,,,,3,2,5,3,1,,,,,,,,ok,outputs/pdfs_full/물리학과__PHY4060__양자광학.pdf,,14
H0002256,H0003561,물리학과,PHY4074,물리학연구캡스톤디자인1,2025,2,2016/1 ~ 2025/2,물리학과,41.67,41.67,16.67,,,,,,,,,,5,5,2,,,,,,,,,,ok,outputs/pdfs_full/물리학과__PHY4074__물리학연구캡스톤디자인1.pdf,,12
H0002256,H0003561,물리학과,PHY4075,물리학연구캡스톤디자인2,2026,1,2016/1 ~ 2026/2,물리학과,37.5,50,12.5,,,,,,,,,,3,4,1,,,,,,,,,,ok,outputs/pdfs_full/물리학과__PHY4075__물리학연구캡스톤디자인2.pdf,,8
H0002256,H0004800,미래자동차기술융합전공,PME3002,기계진동학,2025,2,2018/1 ~ 2029/2,미래자동차기술융합전공,16.42,17.16,26.12,17.91,10.45,4.48,5.22,2.24,,,,,22,23,35,24,14,6,7,3,,,,,ok,outputs/pdfs_full/미래자동차기술융합전공__PME3002__기계진동학.pdf,,134
H0002256,H0002739,피아노과,PNO1003,피아노전공실기1,2026,1,1999/1 ~ 2027/2,피아노과(학부/서울),,21.05,63.16,5.26,,5.26,5.26,,,,,,,4,12,1,,1,1,,,,,,ok,outputs/pdfs_full/피아노과__PNO1003__피아노전공실기1.pdf,,19
H0002256,H0002739,피아노과,PNO1004,피아노전공실기2,2025,2,1999/1 ~ 2027/2,피아노과(학부/서울),,28.57,71.43,,,,,,,,,,,4,10,,,,,,,,,,ok,outputs/pdfs_full/피아노과__PNO1004__피아노전공실기2.pdf,,14
H0002256,H0002739,피아노과,PNO2005,피아노전공실기3,2026,1,1999/1 ~ 2028/2,피아노과(학부/서울),,21.05,68.42,10.53,,,,,,,,,,4,13,2,,,,,,,,,ok,outputs/pdfs_full/피아노과__PNO2005__피아노전공실기3.pdf,,19
